sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
234.0;56.68;93526;2019-04-02 13:36:00:777
234.0;58.032;94025;2019-04-02 13:36:01:276
234.0;38.088;94525;2019-04-02 13:36:01:776
234.0;54.289;95025;2019-04-02 13:36:02:276
234.0;38.58;95525;2019-04-02 13:36:02:776
234.0;50.308;96025;2019-04-02 13:36:03:276
234.0;54.993;96525;2019-04-02 13:36:03:776
234.0;45.538;97025;2019-04-02 13:36:04:276
234.0;49.686;97525;2019-04-02 13:36:04:776
234.0;57.324;98025;2019-04-02 13:36:05:276
234.0;50.585;98526;2019-04-02 13:36:05:777
234.0;56.055;99025;2019-04-02 13:36:06:276
234.0;48.917;99526;2019-04-02 13:36:06:777
234.0;53.681;100025;2019-04-02 13:36:07:276
234.0;53.12;100526;2019-04-02 13:36:07:777
234.0;56.359;101025;2019-04-02 13:36:08:276
234.0;56.529;101525;2019-04-02 13:36:08:776
234.0;60.418;102024;2019-04-02 13:36:09:275
234.0;60.267;102525;2019-04-02 13:36:09:776
234.0;53.19;103025;2019-04-02 13:36:10:276
234.0;40.585;103525;2019-04-02 13:36:10:776
234.0;59.952;104026;2019-04-02 13:36:11:277
234.0;59.392;104526;2019-04-02 13:36:11:777
234.0;59.036;105025;2019-04-02 13:36:12:276
234.0;57.236;105525;2019-04-02 13:36:12:776
234.0;48.295;106026;2019-04-02 13:36:13:277
234.0;49.735;106525;2019-04-02 13:36:13:776
234.0;50.409;107025;2019-04-02 13:36:14:276
234.0;46.716;107525;2019-04-02 13:36:14:776
234.0;45.772;108025;2019-04-02 13:36:15:276
234.0;59.919;108525;2019-04-02 13:36:15:776
234.0;54.344;109026;2019-04-02 13:36:16:277
234.0;55.011;109525;2019-04-02 13:36:16:776
234.0;54.206;110026;2019-04-02 13:36:17:277
234.0;46.048;110525;2019-04-02 13:36:17:776
234.0;47.534;111025;2019-04-02 13:36:18:276
234.0;46.387;111525;2019-04-02 13:36:18:776
234.0;51.021;112025;2019-04-02 13:36:19:276
234.0;56.563;112526;2019-04-02 13:36:19:777
234.0;52.06;113025;2019-04-02 13:36:20:276
234.0;49.379;113525;2019-04-02 13:36:20:776
234.0;50.457;114026;2019-04-02 13:36:21:277
234.0;55.732;114525;2019-04-02 13:36:21:776
234.0;53.623;115025;2019-04-02 13:36:22:276
234.0;56.161;115525;2019-04-02 13:36:22:776
234.0;55.536;116026;2019-04-02 13:36:23:277
234.0;53.638;116525;2019-04-02 13:36:23:776
234.0;51.006;117025;2019-04-02 13:36:24:276
234.0;55.966;117525;2019-04-02 13:36:24:776
234.0;48.42;118025;2019-04-02 13:36:25:276
234.0;54.119;118525;2019-04-02 13:36:25:776
234.0;57.252;119025;2019-04-02 13:36:26:276
234.0;57.279;119526;2019-04-02 13:36:26:777
234.0;39.791;120025;2019-04-02 13:36:27:276
234.0;60.865;120525;2019-04-02 13:36:27:776
234.0;56.302;121025;2019-04-02 13:36:28:276
234.0;43.602;121525;2019-04-02 13:36:28:776
234.0;46.458;122025;2019-04-02 13:36:29:276
234.0;51.803;122525;2019-04-02 13:36:29:776
234.0;43.987;123025;2019-04-02 13:36:30:276
234.0;54.626;123525;2019-04-02 13:36:30:776
234.0;53.637;124025;2019-04-02 13:36:31:276
234.0;45.721;124525;2019-04-02 13:36:31:776
234.0;34.008;125025;2019-04-02 13:36:32:276
234.0;52.443;125525;2019-04-02 13:36:32:776
234.0;49.027;126025;2019-04-02 13:36:33:276
234.0;54.872;126525;2019-04-02 13:36:33:776
234.0;54.058;127026;2019-04-02 13:36:34:277
234.0;54.189;127526;2019-04-02 13:36:34:777
234.0;54.489;128025;2019-04-02 13:36:35:276
234.0;53.2;128526;2019-04-02 13:36:35:777
234.0;48.362;129026;2019-04-02 13:36:36:277
234.0;51.276;129525;2019-04-02 13:36:36:776
234.0;49.028;130027;2019-04-02 13:36:37:278
234.0;46.999;130526;2019-04-02 13:36:37:777
234.0;54.118;131026;2019-04-02 13:36:38:277
234.0;48.008;131526;2019-04-02 13:36:38:777
234.0;52.606;132025;2019-04-02 13:36:39:276
234.0;55.539;132525;2019-04-02 13:36:39:776
234.0;53.711;133025;2019-04-02 13:36:40:276
234.0;47.769;133526;2019-04-02 13:36:40:777
234.0;52.449;134025;2019-04-02 13:36:41:276
234.0;53.985;134525;2019-04-02 13:36:41:776
234.0;52.811;135025;2019-04-02 13:36:42:276
234.0;33.747;135526;2019-04-02 13:36:42:777
234.0;53.5;136025;2019-04-02 13:36:43:276
234.0;50.665;136525;2019-04-02 13:36:43:776
234.0;56.37;137026;2019-04-02 13:36:44:277
234.0;49.577;137525;2019-04-02 13:36:44:776
234.0;52.334;138025;2019-04-02 13:36:45:276
234.0;35.564;138524;2019-04-02 13:36:45:775
232.0;41.32;139026;2019-04-02 13:36:46:277
227.0;36.514;139525;2019-04-02 13:36:46:776
217.0;34.855;140025;2019-04-02 13:36:47:276
234.0;52.302;140525;2019-04-02 13:36:47:776
234.0;52.98;141026;2019-04-02 13:36:48:277
234.0;51.056;141525;2019-04-02 13:36:48:776
234.0;36.301;142026;2019-04-02 13:36:49:277
234.0;37.839;142526;2019-04-02 13:36:49:777
234.0;56.809;143025;2019-04-02 13:36:50:276
234.0;53.22;143525;2019-04-02 13:36:50:776
232.0;55.879;144025;2019-04-02 13:36:51:276
234.0;54.626;144525;2019-04-02 13:36:51:776
234.0;49.277;145026;2019-04-02 13:36:52:277
234.0;49.979;145526;2019-04-02 13:36:52:777
234.0;53.009;146026;2019-04-02 13:36:53:277
234.0;51.477;146525;2019-04-02 13:36:53:776
234.0;33.438;147025;2019-04-02 13:36:54:276
234.0;50.478;147525;2019-04-02 13:36:54:776
234.0;51.757;148025;2019-04-02 13:36:55:276
