LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
527,44.816,1409519,2019-03-12 12:24:45:452
527,44.28,1410018,2019-03-12 12:24:45:951
519,42.68,1410519,2019-03-12 12:24:46:452
527,38.658,1411020,2019-03-12 12:24:46:953
519,36.877,1411520,2019-03-12 12:24:47:453
519,36.341,1412020,2019-03-12 12:24:47:953
519,38.123,1412519,2019-03-12 12:24:48:452
527,34.432,1413019,2019-03-12 12:24:48:952
519,50.898,1413519,2019-03-12 12:24:49:452
519,55.417,1414019,2019-03-12 12:24:49:952
527,55.489,1414519,2019-03-12 12:24:50:452
519,57.374,1415020,2019-03-12 12:24:50:953
519,51.892,1415520,2019-03-12 12:24:51:453
519,38.762,1416019,2019-03-12 12:24:51:952
519,53.969,1416519,2019-03-12 12:24:52:452
519,46.828,1417019,2019-03-12 12:24:52:952
519,43.719,1417523,2019-03-12 12:24:53:456
527,55.249,1418019,2019-03-12 12:24:53:952
519,53.085,1418519,2019-03-12 12:24:54:452
519,49.223,1419018,2019-03-12 12:24:54:951
519,53.252,1419518,2019-03-12 12:24:55:451
519,51.68,1420019,2019-03-12 12:24:55:952
519,49.41,1420520,2019-03-12 12:24:56:453
519,38.334,1421019,2019-03-12 12:24:56:952
519,53.749,1421519,2019-03-12 12:24:57:452
519,57.269,1422019,2019-03-12 12:24:57:952
521,56.052,1422519,2019-03-12 12:24:58:452
521,52.344,1423019,2019-03-12 12:24:58:952
521,49.265,1423519,2019-03-12 12:24:59:452
521,49.61,1424019,2019-03-12 12:24:59:952
521,45.56,1424519,2019-03-12 12:25:00:452
521,40.879,1425019,2019-03-12 12:25:00:952
521,54.527,1425519,2019-03-12 12:25:01:452
521,53.436,1426019,2019-03-12 12:25:01:952
521,54.279,1426519,2019-03-12 12:25:02:452
521,43.667,1427019,2019-03-12 12:25:02:952
521,53.419,1427519,2019-03-12 12:25:03:452
521,41.015,1428019,2019-03-12 12:25:03:952
527,54.711,1428519,2019-03-12 12:25:04:452
521,54.815,1429019,2019-03-12 12:25:04:952
521,54.474,1429518,2019-03-12 12:25:05:451
521,54.728,1430019,2019-03-12 12:25:05:952
521,51.604,1430520,2019-03-12 12:25:06:453
